aogcm,sector,pr_clim,evspsbl_clim,smb_clim,ts_clim,mrro_clim
ipsl-cm5-mr_rcp85,15,1.9204964701202698e-05,1.0249736078549176e-05,8.95522771315882e-06,266.02899169921875,
ipsl-cm5-mr_rcp85,16,2.0217768906150013e-05,6.91497371008154e-06,1.3302796105563175e-05,261.8153381347656,
ipsl-cm5-mr_rcp85,17,2.6591160349198617e-05,1.235229501617141e-05,1.4238866242521908e-05,271.569580078125,
ipsl-cm5-mr_rcp85,18,1.7914269847096875e-05,7.86993041401729e-06,1.0044338523584884e-05,263.7594909667969,
ipsl-cm5-mr_rcp26,1,2.4164741262211464e-05,1.4477478543994948e-05,9.687261808721814e-06,272.2313232421875,
ipsl-cm5-mr_rcp26,2,1.2432743460522033e-05,3.857642695948016e-06,8.575100764574017e-06,254.74952697753906,
ipsl-cm5-mr_rcp26,3,2.7788666557171382e-05,1.3324762221600395e-05,1.4463904335570987e-05,272.6733093261719,
ipsl-cm5-mr_rcp26,4,1.4066404219192918e-05,1.8564321635494707e-06,1.2209972737764474e-05,250.91932678222656,
ipsl-cm5-mr_rcp26,5,7.75459011492785e-06,2.1068631212983746e-06,5.647727448376827e-06,249.34837341308594,
ipsl-cm5-mr_rcp26,6,3.4231341032864293e-06,1.391480850543303e-06,2.0316531390562886e-06,234.75709533691406,
ipsl-cm5-mr_rcp26,7,2.344819404243026e-05,1.0973687494697515e-05,1.2474505638238043e-05,262.2794494628906,
ipsl-cm5-mr_rcp26,8,2.0084822608623654e-05,9.081339158001356e-06,1.1003482541127596e-05,257.5793762207031,
ipsl-cm5-mr_rcp26,9,7.773085599183105e-06,3.865778580802726e-06,3.907306563633028e-06,242.5436248779297,
ipsl-cm5-mr_rcp26,10,1.5113435438252054e-05,8.556261491321493e-06,6.5571725826885086e-06,258.6753845214844,
ipsl-cm5-mr_rcp26,11,4.810788141185185e-06,1.9124470327369636e-06,2.898340881074546e-06,239.722900390625,
ipsl-cm5-mr_rcp26,12,2.3577127649332397e-05,1.0762730198621284e-05,1.2814397450711112e-05,265.7144470214844,
ipsl-cm5-mr_rcp26,13,2.3566486561321653e-05,1.2157909623056185e-05,1.1408576938265469e-05,266.7777404785156,
ipsl-cm5-mr_rcp26,14,1.544791302876547e-05,7.28313125364366e-06,8.164781320374459e-06,254.96775817871094,
ipsl-cm5-mr_rcp26,15,1.9260607587057166e-05,1.018381317408057e-05,9.076796231966e-06,266.0282287597656,
ipsl-cm5-mr_rcp26,16,2.059489270322956e-05,6.938723799976287e-06,1.3656168448505923e-05,261.9258117675781,
ipsl-cm5-mr_rcp26,17,2.6674682885641232e-05,1.2279291695449501e-05,1.4395387552212924e-05,271.7257995605469,
ipsl-cm5-mr_rcp26,18,1.857877941802144e-05,7.787356480548624e-06,1.0791422937472817e-05,263.928466796875,
cnrm-cm6_ssp585,1,2.3021922970656306e-05,9.994524589274079e-06,1.3027399290876929e-05,271.07421875,-1.0878389931478355e-14
cnrm-cm6_ssp585,2,9.65567505772924e-06,2.281067054354935e-06,7.374607321253279e-06,251.85365295410156,0.0
cnrm-cm6_ssp585,3,2.6055668058688752e-05,1.0905670933425426e-05,1.5149996215768624e-05,271.47979736328125,0.0
cnrm-cm6_ssp585,4,1.7485133867012337e-05,1.7409448673788575e-06,1.5744188203825615e-05,249.5447998046875,0.0
cnrm-cm6_ssp585,5,7.502769221900962e-06,2.5807419206103077e-06,4.921571417071391e-06,247.80685424804688,4.5555309524658583e-10
cnrm-cm6_ssp585,6,3.512347120704362e-06,1.0641360859153792e-06,2.448211489536334e-06,230.0728302001953,0.0
cnrm-cm6_ssp585,7,2.303820838278625e-05,8.168296517396811e-06,1.4869910955894738e-05,259.0301818847656,0.0
cnrm-cm6_ssp585,8,2.0627734556910582e-05,7.820451173756737e-06,1.2807189705199562e-05,254.90408325195312,9.508489134946174e-11
cnrm-cm6_ssp585,9,7.24353867553873e-06,3.486729838186875e-06,3.6265578273741994e-06,239.3159637451172,1.3025118050791207e-07
cnrm-cm6_ssp585,10,1.347970373899443e-05,4.21270578954136e-06,9.26699794945307e-06,254.18862915039062,0.0
cnrm-cm6_ssp585,11,3.941448085242882e-06,8.17575084965938e-07,3.1238732844940387e-06,234.8199920654297,0.0
cnrm-cm6_ssp585,12,2.0177747501293197e-05,7.278870725713205e-06,1.2898878594569396e-05,261.40234375,0.0
cnrm-cm6_ssp585,13,2.1890260541113093e-05,7.956639819894917e-06,1.385633549944032e-05,263.8719787597656,7.72870905052514e-08
cnrm-cm6_ssp585,14,1.4409873983822763e-05,6.295601906458614e-06,7.719790119153913e-06,252.22061157226562,3.944813613543374e-07
cnrm-cm6_ssp585,15,1.4951219782233238e-05,4.604577043210156e-06,1.034664182952838e-05,261.4927978515625,0.0
