sectors,year,temperature,regions,aogcm
3.0,2061,1.1833358,1.0,miroc-esm-chem_rcp8.5
3.0,2062,1.167524,1.0,miroc-esm-chem_rcp8.5
3.0,2063,1.1823293,1.0,miroc-esm-chem_rcp8.5
3.0,2064,1.1956291,1.0,miroc-esm-chem_rcp8.5
3.0,2065,1.2054394,1.0,miroc-esm-chem_rcp8.5
3.0,2066,1.1924022,1.0,miroc-esm-chem_rcp8.5
3.0,2067,1.2257632,1.0,miroc-esm-chem_rcp8.5
3.0,2068,1.2552878,1.0,miroc-esm-chem_rcp8.5
3.0,2069,1.2854624,1.0,miroc-esm-chem_rcp8.5
3.0,2070,1.2735775,1.0,miroc-esm-chem_rcp8.5
3.0,2071,1.2489314,1.0,miroc-esm-chem_rcp8.5
3.0,2072,1.2019866,1.0,miroc-esm-chem_rcp8.5
3.0,2073,1.2111578,1.0,miroc-esm-chem_rcp8.5
3.0,2074,1.197704,1.0,miroc-esm-chem_rcp8.5
3.0,2075,1.2093753,1.0,miroc-esm-chem_rcp8.5
3.0,2076,1.2494344,1.0,miroc-esm-chem_rcp8.5
3.0,2077,1.2667357,1.0,miroc-esm-chem_rcp8.5
3.0,2078,1.2933891,1.0,miroc-esm-chem_rcp8.5
3.0,2079,1.2492694,1.0,miroc-esm-chem_rcp8.5
3.0,2080,1.2169486,1.0,miroc-esm-chem_rcp8.5
3.0,2081,1.2219664,1.0,miroc-esm-chem_rcp8.5
3.0,2082,1.2259679,1.0,miroc-esm-chem_rcp8.5
3.0,2083,1.2555504,1.0,miroc-esm-chem_rcp8.5
3.0,2084,1.284383,1.0,miroc-esm-chem_rcp8.5
3.0,2085,1.2867771,1.0,miroc-esm-chem_rcp8.5
3.0,2086,1.2784599,1.0,miroc-esm-chem_rcp8.5
3.0,2087,1.2835736,1.0,miroc-esm-chem_rcp8.5
3.0,2088,1.2772716,1.0,miroc-esm-chem_rcp8.5
3.0,2089,1.278664,1.0,miroc-esm-chem_rcp8.5
3.0,2090,1.2908369,1.0,miroc-esm-chem_rcp8.5
3.0,2091,1.2974477,1.0,miroc-esm-chem_rcp8.5
3.0,2092,1.3239607,1.0,miroc-esm-chem_rcp8.5
3.0,2093,1.3099214,1.0,miroc-esm-chem_rcp8.5
3.0,2094,1.2969948,1.0,miroc-esm-chem_rcp8.5
3.0,2095,1.3076313,1.0,miroc-esm-chem_rcp8.5
3.0,2096,1.3331767,1.0,miroc-esm-chem_rcp8.5
3.0,2097,1.3324075,1.0,miroc-esm-chem_rcp8.5
3.0,2098,1.3306412,1.0,miroc-esm-chem_rcp8.5
3.0,2099,1.3479711,1.0,miroc-esm-chem_rcp8.5
3.0,2100,1.3615726,1.0,miroc-esm-chem_rcp8.5
4.0,1995,-0.14707522,1.0,miroc-esm-chem_rcp8.5
4.0,1996,-0.136267,1.0,miroc-esm-chem_rcp8.5
4.0,1997,-0.1308625,1.0,miroc-esm-chem_rcp8.5
4.0,1998,-0.14502315,1.0,miroc-esm-chem_rcp8.5
4.0,1999,-0.15823938,1.0,miroc-esm-chem_rcp8.5
4.0,2000,-0.1628729,1.0,miroc-esm-chem_rcp8.5
4.0,2001,-0.167611,1.0,miroc-esm-chem_rcp8.5
4.0,2002,-0.16922238,1.0,miroc-esm-chem_rcp8.5
4.0,2003,-0.1808483,1.0,miroc-esm-chem_rcp8.5
4.0,2004,-0.16668801,1.0,miroc-esm-chem_rcp8.5
4.0,2005,-0.20898372,1.0,miroc-esm-chem_rcp8.5
4.0,2006,-0.2538953,1.0,miroc-esm-chem_rcp8.5
4.0,2007,-0.26791367,1.0,miroc-esm-chem_rcp8.5
4.0,2008,-0.29148743,1.0,miroc-esm-chem_rcp8.5
4.0,2009,-0.2874733,1.0,miroc-esm-chem_rcp8.5
4.0,2010,-0.28950253,1.0,miroc-esm-chem_rcp8.5
4.0,2011,-0.2650554,1.0,miroc-esm-chem_rcp8.5
4.0,2012,-0.20820428,1.0,miroc-esm-chem_rcp8.5
4.0,2013,-0.15589456,1.0,miroc-esm-chem_rcp8.5
4.0,2014,-0.12759262,1.0,miroc-esm-chem_rcp8.5
4.0,2015,-0.09713726,1.0,miroc-esm-chem_rcp8.5
4.0,2016,-0.051296677,1.0,miroc-esm-chem_rcp8.5
4.0,2017,-0.03509222,1.0,miroc-esm-chem_rcp8.5
4.0,2018,-0.018102005,1.0,miroc-esm-chem_rcp8.5
4.0,2019,-0.0042781546,1.0,miroc-esm-chem_rcp8.5
4.0,2020,0.02232111,1.0,miroc-esm-chem_rcp8.5
4.0,2021,0.029612312,1.0,miroc-esm-chem_rcp8.5
4.0,2022,0.05385961,1.0,miroc-esm-chem_rcp8.5
4.0,2023,0.07397566,1.0,miroc-esm-chem_rcp8.5
4.0,2024,0.060759827,1.0,miroc-esm-chem_rcp8.5
4.0,2025,0.08311127,1.0,miroc-esm-chem_rcp8.5
4.0,2026,0.06891555,1.0,miroc-esm-chem_rcp8.5
4.0,2027,0.07616889,1.0,miroc-esm-chem_rcp8.5
4.0,2028,0.089146286,1.0,miroc-esm-chem_rcp8.5
4.0,2029,0.10840435,1.0,miroc-esm-chem_rcp8.5
4.0,2030,0.1386335,1.0,miroc-esm-chem_rcp8.5
4.0,2031,0.14742576,1.0,miroc-esm-chem_rcp8.5
4.0,2032,0.1539,1.0,miroc-esm-chem_rcp8.5
4.0,2033,0.12941888,1.0,miroc-esm-chem_rcp8.5
4.0,2034,0.15170455,1.0,miroc-esm-chem_rcp8.5
4.0,2035,0.13569626,1.0,miroc-esm-chem_rcp8.5
4.0,2036,0.13742611,1.0,miroc-esm-chem_rcp8.5
4.0,2037,0.12718602,1.0,miroc-esm-chem_rcp8.5
4.0,2038,0.13082577,1.0,miroc-esm-chem_rcp8.5
4.0,2039,0.119363,1.0,miroc-esm-chem_rcp8.5
4.0,2040,0.10326457,1.0,miroc-esm-chem_rcp8.5
4.0,2041,0.093712606,1.0,miroc-esm-chem_rcp8.5
4.0,2042,0.07018324,1.0,miroc-esm-chem_rcp8.5
4.0,2043,0.079222225,1.0,miroc-esm-chem_rcp8.5
4.0,2044,0.09578731,1.0,miroc-esm-chem_rcp8.5
