sectors,year,pr_anomaly,evspsbl_anomaly,mrro_anomaly,smb_anomaly,ts_anomaly,regions,aogcm
2.0,2058.0,-1.9791032e-06,1.5252894e-07,-1.3895219e-07,-1.99268e-06,-0.48686135,1.0,noresm1-m_rcp8.5
2.0,2059.0,1.4366175e-06,2.011377e-08,3.4936733e-08,1.381567e-06,0.34086883,1.0,noresm1-m_rcp8.5
2.0,2060.0,1.4876681e-06,2.9078441e-08,1.1634565e-07,1.342244e-06,2.750384,1.0,noresm1-m_rcp8.5
2.0,2061.0,-1.3350243e-06,2.0879597e-07,-8.6716156e-08,-1.4571042e-06,0.7105683,1.0,noresm1-m_rcp8.5
2.0,2062.0,2.234638e-06,7.515781e-08,1.140479e-07,2.0454322e-06,2.618401,1.0,noresm1-m_rcp8.5
2.0,2063.0,-1.8334762e-06,3.9653834e-08,-2.1375422e-08,-1.8517546e-06,0.38623208,1.0,noresm1-m_rcp8.5
2.0,2064.0,1.687005e-06,9.38644e-08,9.548686e-08,1.4976538e-06,1.5522717,1.0,noresm1-m_rcp8.5
2.0,2065.0,-2.522889e-07,2.6169985e-08,5.340978e-08,-3.3186868e-07,1.1605269,1.0,noresm1-m_rcp8.5
2.0,2066.0,-1.5860724e-06,1.9918855e-07,2.7925022e-08,-1.8131859e-06,0.557395,1.0,noresm1-m_rcp8.5
2.0,2067.0,-9.719638e-07,7.760748e-08,-6.931968e-08,-9.802516e-07,0.2947763,1.0,noresm1-m_rcp8.5
2.0,2068.0,-5.333359e-07,1.7449135e-07,4.408881e-08,-7.5191605e-07,0.9078444,1.0,noresm1-m_rcp8.5
2.0,2069.0,-3.0553215e-06,1.05250024e-07,-1.2246599e-07,-3.0381054e-06,-0.5830932,1.0,noresm1-m_rcp8.5
2.0,2070.0,-1.8743743e-06,-5.6091555e-08,-7.6718806e-08,-1.741564e-06,0.049293105,1.0,noresm1-m_rcp8.5
2.0,2071.0,2.74201e-07,-4.2643773e-09,-4.2946677e-08,3.2141205e-07,0.9926151,1.0,noresm1-m_rcp8.5
2.0,2072.0,-1.8144401e-06,3.8832567e-08,-1.16354975e-07,-1.7369177e-06,-0.35884398,1.0,noresm1-m_rcp8.5
2.0,2073.0,2.4643376e-07,-8.1238865e-09,5.3093707e-08,2.0146392e-07,1.6289599,1.0,noresm1-m_rcp8.5
